fips,county,state,lat,long,date,cases,state_code,deaths
01001,Autauga,Alabama,32.53952745,-86.64408227,2020-01-31,0,AL,0.0
01001,Autauga,Alabama,32.53952745,-86.64408227,2020-05-28,204,AL,3.0
01001,Autauga,Alabama,32.53952745,-86.64408227,2020-11-30,2780,AL,42.0
01003,Baldwin,Alabama,30.72774991,-87.72207058,2020-01-31,0,AL,0.0
01003,Baldwin,Alabama,30.72774991,-87.72207058,2020-05-28,289,AL,9.0
01003,Baldwin,Alabama,30.72774991,-87.72207058,2020-11-30,8890,AL,98.0
01005,Barbour,Alabama,31.868263,-85.3871286,2020-01-31,0,AL,0.0
01005,Barbour,Alabama,31.868263,-85.3871286,2020-05-28,136,AL,1.0
01005,Barbour,Alabama,31.868263,-85.3871286,2020-11-30,1178,AL,11.0
01007,Bibb,Alabama,32.99642064,-87.12511459999996,2020-01-31,0,AL,0.0
01007,Bibb,Alabama,32.99642064,-87.12511459999996,2020-05-28,72,AL,1.0
01007,Bibb,Alabama,32.99642064,-87.12511459999996,2020-11-30,1196,AL,17.0
01009,Blount,Alabama,33.98210918,-86.56790593,2020-01-31,0,AL,0.0
01009,Blount,Alabama,33.98210918,-86.56790593,2020-05-28,61,AL,1.0
01009,Blount,Alabama,33.98210918,-86.56790593,2020-11-30,2997,AL,40.0
01011,Bullock,Alabama,32.10030533,-85.71265535,2020-01-31,0,AL,0.0
01011,Bullock,Alabama,32.10030533,-85.71265535,2020-05-28,185,AL,3.0
01011,Bullock,Alabama,32.10030533,-85.71265535,2020-11-30,702,AL,19.0
01013,Butler,Alabama,31.75300095,-86.68057478,2020-01-31,0,AL,0.0
01013,Butler,Alabama,31.75300095,-86.68057478,2020-05-28,389,AL,13.0
01013,Butler,Alabama,31.75300095,-86.68057478,2020-11-30,1178,AL,42.0
01015,Calhoun,Alabama,33.77483727,-85.82630386,2020-01-31,0,AL,0.0
01015,Calhoun,Alabama,33.77483727,-85.82630386,2020-05-28,159,AL,3.0
01015,Calhoun,Alabama,33.77483727,-85.82630386,2020-11-30,6430,AL,121.0
01017,Chambers,Alabama,32.91360079,-85.39072749,2020-01-31,0,AL,0.0
01017,Chambers,Alabama,32.91360079,-85.39072749,2020-05-28,364,AL,24.0
01017,Chambers,Alabama,32.91360079,-85.39072749,2020-11-30,1779,AL,50.0
01019,Cherokee,Alabama,34.17805983,-85.60638968,2020-01-31,0,AL,0.0
01019,Cherokee,Alabama,34.17805983,-85.60638968,2020-05-28,34,AL,2.0
01019,Cherokee,Alabama,34.17805983,-85.60638968,2020-11-30,1034,AL,24.0
01021,Chilton,Alabama,32.85044126,-86.7173256,2020-01-31,0,AL,0.0
